id,X,Y,Z,Esrio,NUMPOINTS
385,327396,1856583,531,8,0
386,327396,1856573,532,8,0
461,327406,1856633,525,10,0
462,327406,1856623,525,10,0
463,327406,1856613,525,10,0
464,327406,1856603,526,11,0
465,327406,1856593,526,10,0
466,327406,1856583,528,3,0
467,327406,1856573,529,0,0
468,327406,1856563,529,0,0
531,327416,1856743,511,10,0
532,327416,1856733,514,10,0
533,327416,1856723,516,10,0
534,327416,1856713,516,10,0
535,327416,1856703,519,10,0
536,327416,1856693,520,10,0
537,327416,1856683,520,10,0
538,327416,1856673,520,10,0
539,327416,1856663,521,10,0
540,327416,1856653,521,10,0
541,327416,1856643,523,10,0
542,327416,1856633,525,0,0
543,327416,1856623,525,0,0
544,327416,1856613,525,0,0
545,327416,1856603,526,0,0
546,327416,1856593,526,0,0
547,327416,1856583,528,0,0
548,327416,1856573,529,0,0
549,327416,1856563,529,0,0
608,327426,1856783,511,2,0
609,327426,1856773,511,11,0
610,327426,1856763,510,10,0
611,327426,1856753,510,11,0
612,327426,1856743,510,0,0
613,327426,1856733,514,0,0
614,327426,1856723,517,0,0
615,327426,1856713,517,0,0
616,327426,1856703,519,0,0
617,327426,1856693,519,0,0
618,327426,1856683,519,0,0
619,327426,1856673,520,0,0
620,327426,1856663,522,0,0
621,327426,1856653,522,0,0
622,327426,1856643,525,0,0
623,327426,1856633,527,0,0
624,327426,1856623,527,0,0
625,327426,1856613,528,0,0
626,327426,1856603,529,0,0
627,327426,1856593,529,0,0
628,327426,1856583,530,0,0
629,327426,1856573,532,0,0
630,327426,1856563,532,0,0
688,327436,1856793,509,4,0
689,327436,1856783,509,11,0
690,327436,1856773,509,0,0
691,327436,1856763,509,0,0
692,327436,1856753,512,0,0
693,327436,1856743,512,0,0
694,327436,1856733,515,0,0
695,327436,1856723,518,0,0
696,327436,1856713,518,0,0
697,327436,1856703,520,0,0
698,327436,1856693,520,0,0
699,327436,1856683,520,0,0
700,327436,1856673,522,0,0
701,327436,1856663,525,0,0
702,327436,1856653,525,0,0
703,327436,1856643,528,0,0
704,327436,1856633,530,0,0
705,327436,1856623,530,0,0
706,327436,1856613,531,0,0
707,327436,1856603,532,0,0
708,327436,1856593,532,0,0
709,327436,1856583,533,0,0
710,327436,1856573,535,0,0
711,327436,1856563,535,0,0
768,327446,1856803,511,3,0
769,327446,1856793,509,11,0
770,327446,1856783,509,0,0
771,327446,1856773,509,0,0
772,327446,1856763,509,0,0
773,327446,1856753,512,0,0
774,327446,1856743,512,0,0
775,327446,1856733,515,0,0
776,327446,1856723,518,0,0
777,327446,1856713,518,0,0
778,327446,1856703,520,0,0
779,327446,1856693,520,0,0
780,327446,1856683,520,0,0
781,327446,1856673,522,0,0
782,327446,1856663,525,0,0
783,327446,1856653,525,0,0
784,327446,1856643,528,0,0
785,327446,1856633,530,0,0
786,327446,1856623,530,0,0
787,327446,1856613,531,0,0
788,327446,1856603,532,0,0
789,327446,1856593,532,0,0
790,327446,1856583,533,0,0
791,327446,1856573,535,0,0
792,327446,1856563,535,0,0
848,327456,1856813,508,2,0
849,327456,1856803,508,11,0
850,327456,1856793,507,0,0
851,327456,1856783,507,0,0
852,327456,1856773,507,0,0
853,327456,1856763,510,0,0
854,327456,1856753,514,0,0
855,327456,1856743,514,0,0
856,327456,1856733,518,0,0
857,327456,1856723,520,0,0
858,327456,1856713,520,0,0
859,327456,1856703,523,0,0
860,327456,1856693,525,0,0
861,327456,1856683,525,0,0
862,327456,1856673,527,0,0
863,327456,1856663,530,0,0
864,327456,1856653,530,0,0
865,327456,1856643,533,0,0
866,327456,1856633,534,0,0
867,327456,1856623,534,0,0
868,327456,1856613,535,0,0
869,327456,1856603,536,0,0
870,327456,1856593,536,0,0
871,327456,1856583,537,0,0
872,327456,1856573,539,0,0
873,327456,1856563,539,0,0
929,327466,1856813,505,13,0
930,327466,1856803,505,0,0
931,327466,1856793,505,0,0
932,327466,1856783,508,0,0
933,327466,1856773,508,0,0
934,327466,1856763,512,0,0
935,327466,1856753,516,0,0
936,327466,1856743,516,0,0
937,327466,1856733,520,0,0
938,327466,1856723,524,0,0
939,327466,1856713,524,0,0
940,327466,1856703,528,0,0
941,327466,1856693,531,0,0
942,327466,1856683,531,0,0
943,327466,1856673,534,0,0
944,327466,1856663,537,0,0
945,327466,1856653,537,0,0
946,327466,1856643,539,0,0
947,327466,1856633,540,0,0
948,327466,1856623,540,0,0
949,327466,1856613,540,0,0
950,327466,1856603,541,0,0
951,327466,1856593,541,0,0
952,327466,1856583,542,0,0
953,327466,1856573,545,0,0
954,327466,1856563,545,0,0
955,327466,1856553,548,0,0
1009,327476,1856823,507,10,0
1010,327476,1856813,505,2,0
1011,327476,1856803,505,0,0
1012,327476,1856793,505,0,0
1013,327476,1856783,508,0,0
1014,327476,1856773,508,0,0
1015,327476,1856763,512,0,0
1016,327476,1856753,516,0,0
1017,327476,1856743,516,0,0
1018,327476,1856733,520,0,0
1019,327476,1856723,524,0,0
1020,327476,1856713,524,0,0
1021,327476,1856703,528,0,0
1022,327476,1856693,531,0,0
1023,327476,1856683,531,0,0
1024,327476,1856673,534,0,0
1025,327476,1856663,537,0,0
1026,327476,1856653,537,0,0
1027,327476,1856643,539,0,0
1028,327476,1856633,540,0,0
1029,327476,1856623,540,0,0
1030,327476,1856613,540,0,0
1031,327476,1856603,541,0,0
1032,327476,1856593,541,0,0
1033,327476,1856583,542,0,0
1034,327476,1856573,545,0,0
1035,327476,1856563,545,0,0
1036,327476,1856553,548,0,0
1089,327486,1856833,504,6,0
1090,327486,1856823,504,7,0
1091,327486,1856813,503,0,0
1092,327486,1856803,503,0,0
1093,327486,1856793,506,0,0
1094,327486,1856783,510,0,0
1095,327486,1856773,510,0,0
1096,327486,1856763,514,0,0
1097,327486,1856753,519,0,0
1098,327486,1856743,519,0,0
1099,327486,1856733,524,0,0
1100,327486,1856723,529,0,0
1101,327486,1856713,529,0,0
1102,327486,1856703,534,0,0
1103,327486,1856693,537,0,0
1104,327486,1856683,537,0,0
1105,327486,1856673,540,0,0
1106,327486,1856663,542,0,0
1107,327486,1856653,542,0,0
1108,327486,1856643,544,0,0
1109,327486,1856633,545,0,0
1110,327486,1856623,545,0,0
1111,327486,1856613,546,0,0
1112,327486,1856603,548,0,0
1113,327486,1856593,548,0,0
1114,327486,1856583,550,0,0
1115,327486,1856573,553,0,0
1116,327486,1856563,553,0,0
1117,327486,1856553,556,0,0
1169,327496,1856843,500,3,0
1170,327496,1856833,500,10,0
1171,327496,1856823,502,0,0
1172,327496,1856813,502,0,0
1173,327496,1856803,502,0,0
1174,327496,1856793,506,0,0
1175,327496,1856783,511,0,0
1176,327496,1856773,511,0,0
1177,327496,1856763,516,0,0
1178,327496,1856753,522,0,0
1179,327496,1856743,522,0,0
1180,327496,1856733,527,0,0
1181,327496,1856723,533,0,0
1182,327496,1856713,533,0,0
1183,327496,1856703,538,0,0
1184,327496,1856693,542,0,0
1185,327496,1856683,542,0,0
1186,327496,1856673,544,0,0
1187,327496,1856663,547,0,0
1188,327496,1856653,547,0,0
1189,327496,1856643,549,0,0
1190,327496,1856633,550,0,0
1191,327496,1856623,550,0,0
1192,327496,1856613,552,0,0
1193,327496,1856603,554,0,0
1194,327496,1856593,554,0,0
1195,327496,1856583,557,0,0
1196,327496,1856573,559,0,0
1197,327496,1856563,559,0,0
1198,327496,1856553,561,0,0
1249,327506,1856853,500,5,0
1250,327506,1856843,500,10,0
1251,327506,1856833,500,0,0
1252,327506,1856823,502,0,0
1253,327506,1856813,502,0,0
1254,327506,1856803,502,0,0
1255,327506,1856793,506,0,0
1256,327506,1856783,511,0,0
1257,327506,1856773,511,0,0
1258,327506,1856763,516,0,0
1259,327506,1856753,522,0,0
1260,327506,1856743,522,0,0
1261,327506,1856733,527,0,0
1262,327506,1856723,533,0,0
1263,327506,1856713,533,0,0
1264,327506,1856703,538,0,0
1265,327506,1856693,542,0,0
1266,327506,1856683,542,0,0
1267,327506,1856673,544,0,0
1268,327506,1856663,547,0,0
1269,327506,1856653,547,0,0
1270,327506,1856643,549,0,0
1271,327506,1856633,550,0,0
1272,327506,1856623,550,0,0
1273,327506,1856613,552,0,0
1274,327506,1856603,554,0,0
1275,327506,1856593,554,0,0
1276,327506,1856583,557,0,0
1277,327506,1856573,559,0,0
1278,327506,1856563,559,0,0
1279,327506,1856553,561,0,0
1329,327516,1856863,498,6,0
1330,327516,1856853,499,9,0
1331,327516,1856843,499,0,0
1332,327516,1856833,499,0,0
1333,327516,1856823,499,0,0
1334,327516,1856813,500,0,0
1335,327516,1856803,500,0,0
1336,327516,1856793,506,0,0
1337,327516,1856783,513,0,0
1338,327516,1856773,513,0,0
1339,327516,1856763,519,0,0
1340,327516,1856753,525,0,0
1341,327516,1856743,525,0,0
1342,327516,1856733,531,0,0
1343,327516,1856723,536,0,0
1344,327516,1856713,536,0,0
1345,327516,1856703,540,0,0
1346,327516,1856693,544,0,0
1347,327516,1856683,544,0,0
1348,327516,1856673,547,0,0
1349,327516,1856663,549,0,0
1350,327516,1856653,549,0,0
1351,327516,1856643,552,0,0
1352,327516,1856633,554,0,0
1353,327516,1856623,554,0,0
1354,327516,1856613,556,0,0
1355,327516,1856603,558,0,0
1356,327516,1856593,558,0,0
1357,327516,1856583,560,0,0
1358,327516,1856573,561,0,0
1359,327516,1856563,561,0,0
1360,327516,1856553,563,0,0
1409,327526,1856873,495,8,0
1410,327526,1856863,495,7,0
1411,327526,1856853,496,0,0
1412,327526,1856843,496,0,0
1413,327526,1856833,496,0,0
1414,327526,1856823,498,0,0
1415,327526,1856813,503,0,0
1416,327526,1856803,503,0,0
1417,327526,1856793,509,0,0
1418,327526,1856783,515,0,0
1419,327526,1856773,515,0,0
1420,327526,1856763,521,0,0
1421,327526,1856753,527,0,0
1422,327526,1856743,527,0,0
1423,327526,1856733,533,0,0
1424,327526,1856723,538,0,0
1425,327526,1856713,538,0,0
1426,327526,1856703,542,0,0
1427,327526,1856693,545,0,0
1428,327526,1856683,545,0,0
1429,327526,1856673,548,0,0
1430,327526,1856663,551,0,0
1431,327526,1856653,551,0,0
1432,327526,1856643,553,0,0
1433,327526,1856633,555,0,0
1434,327526,1856623,555,0,0
1435,327526,1856613,558,0,0
1436,327526,1856603,559,0,0
1437,327526,1856593,559,0,0
1438,327526,1856583,561,0,0
1439,327526,1856573,562,0,0
1440,327526,1856563,562,0,0
1441,327526,1856553,563,0,0
1442,327526,1856543,563,0,0
1489,327536,1856883,495,9,0
1490,327536,1856873,495,6,0
1491,327536,1856863,495,0,0
1492,327536,1856853,496,0,0
1493,327536,1856843,496,0,0
1494,327536,1856833,496,0,0
1495,327536,1856823,498,0,0
1496,327536,1856813,503,0,0
1497,327536,1856803,503,0,0
1498,327536,1856793,509,0,0
1499,327536,1856783,515,0,0
1500,327536,1856773,515,0,0
1501,327536,1856763,521,0,0
1502,327536,1856753,527,0,0
1503,327536,1856743,527,0,0
1504,327536,1856733,533,0,0
1505,327536,1856723,538,0,0
1506,327536,1856713,538,0,0
1507,327536,1856703,542,0,0
1508,327536,1856693,545,0,0
1509,327536,1856683,545,0,0
1510,327536,1856673,548,0,0
1511,327536,1856663,551,0,0
1512,327536,1856653,551,0,0
1513,327536,1856643,553,0,0
1514,327536,1856633,555,0,0
1515,327536,1856623,555,0,0
1516,327536,1856613,558,0,0
1517,327536,1856603,559,0,0
1518,327536,1856593,559,0,0
1519,327536,1856583,561,0,0
1520,327536,1856573,562,0,0
1521,327536,1856563,562,0,0
1522,327536,1856553,563,0,0
1523,327536,1856543,563,0,0
1569,327546,1856893,493,10,0
1570,327546,1856883,493,4,0
1571,327546,1856873,493,0,0
1572,327546,1856863,493,0,0
1573,327546,1856853,493,0,0
1574,327546,1856843,493,0,0
1575,327546,1856833,493,0,0
1576,327546,1856823,494,0,0
1577,327546,1856813,502,0,0
1578,327546,1856803,502,0,0
1579,327546,1856793,510,0,0
1580,327546,1856783,517,0,0
1581,327546,1856773,517,0,0
1582,327546,1856763,523,0,0
1583,327546,1856753,528,0,0
1584,327546,1856743,528,0,0
1585,327546,1856733,534,0,0
1586,327546,1856723,539,0,0
1587,327546,1856713,539,0,0
1588,327546,1856703,542,0,0
1589,327546,1856693,545,0,0
1590,327546,1856683,545,0,0
1591,327546,1856673,548,0,0
1592,327546,1856663,551,0,0
1593,327546,1856653,551,0,0
1594,327546,1856643,553,0,0
1595,327546,1856633,555,0,0
1596,327546,1856623,555,0,0
1597,327546,1856613,557,0,0
1598,327546,1856603,559,0,0
1599,327546,1856593,559,0,0
1600,327546,1856583,560,0,0
1601,327546,1856573,560,0,0
1602,327546,1856563,560,0,0
1603,327546,1856553,561,0,0
1604,327546,1856543,561,0,0
1649,327556,1856903,491,6,0
1650,327556,1856893,491,6,0
1651,327556,1856883,491,0,0
1652,327556,1856873,491,0,0
1653,327556,1856863,491,0,0
1654,327556,1856853,491,0,0
1655,327556,1856843,491,0,0
1656,327556,1856833,491,0,0
1657,327556,1856823,496,0,0
1658,327556,1856813,502,0,0
1659,327556,1856803,502,0,0
1660,327556,1856793,510,0,0
1661,327556,1856783,518,0,0
1662,327556,1856773,518,0,0
